Performance_Record_ID,Employee_ID,Quarter,Department,Goal_Achievement_Score,Quality_Score,Behaviour_Score,Overall_Score,Performance_Rating,Manager_Checkin_Completed,Development_Plan_Created
PF-0289,SG-22024042612,Q3,Quality Assurance,78,69,92,77.7,Meets,Yes,Yes
PF-0290,SG-22024042612,Q4,Quality Assurance,90,90,70,86.0,Exceeds,Yes,Yes
PF-0291,SG-22007052613,Q2,Quality Assurance,65,78,84,73.3,Meets,Yes,Yes
PF-0292,SG-22007052613,Q3,Quality Assurance,75,79,79,77.2,Meets,Yes,Yes
PF-0293,SG-22007052613,Q4,Quality Assurance,83,93,95,88.9,Exceeds,Yes,Yes
PF-0294,SG-23020062609,Q2,Engineering and Maintenance,74,62,68,68.6,Meets,Yes,No
PF-0295,SG-23020062609,Q3,Engineering and Maintenance,66,58,74,64.8,Needs Improvement,Yes,Yes
PF-0296,SG-23020062609,Q4,Engineering and Maintenance,100,100,78,95.6,Exceptional,Yes,No
PF-0297,SG-23003042610,Q2,Engineering and Maintenance,61,75,70,67.7,Meets,No,No
PF-0298,SG-23003042610,Q3,Engineering and Maintenance,69,87,89,79.3,Meets,Yes,Yes
PF-0299,SG-23003042610,Q4,Engineering and Maintenance,95,57,91,80.9,Exceeds,Yes,No
PF-0300,SG-24005052608,Q2,Research and Development,73,60,73,68.5,Meets,Yes,Yes
PF-0301,SG-24005052608,Q3,Research and Development,93,72,84,83.8,Exceeds,Yes,Yes
PF-0302,SG-24005052608,Q4,Research and Development,86,84,79,83.9,Exceeds,Yes,Yes
PF-0303,SG-24027062609,Q2,Research and Development,74,64,62,68.1,Meets,Yes,Yes
PF-0304,SG-24027062609,Q3,Research and Development,71,67,90,73.4,Meets,Yes,Yes
PF-0305,SG-24027062609,Q4,Research and Development,86,92,83,87.5,Exceeds,Yes,No
PF-0306,SG-28021062605,Q2,IT Data and HRIS,72,70,74,71.7,Meets,Yes,No
PF-0307,SG-28021062605,Q3,IT Data and HRIS,78,69,89,77.0,Meets,Yes,Yes
PF-0308,SG-28021062605,Q4,IT Data and HRIS,86,100,88,91.3,Exceptional,Yes,No
PF-0309,SG-28019062606,Q2,IT Data and HRIS,62,67,74,66.2,Meets,Yes,Yes
PF-0310,SG-28019062606,Q3,IT Data and HRIS,76,71,95,78.0,Meets,Yes,Yes
PF-0311,SG-28019062606,Q4,IT Data and HRIS,82,92,90,87.1,Exceeds,Yes,Yes
PF-0312,SG-12727052607,Q2,Human Resources and People,73,67,64,69.1,Meets,No,No
PF-0313,SG-12727052607,Q3,Human Resources and People,95,85,83,89.1,Exceeds,Yes,Yes
PF-0314,SG-12727052607,Q4,Human Resources and People,98,100,98,98.7,Exceptional,Yes,Yes
PF-0315,SG-25010042607,Q2,Supply Chain and Planning,54,52,77,57.9,Needs Improvement,Yes,No
PF-0316,SG-25010042607,Q3,Supply Chain and Planning,66,70,82,70.6,Meets,No,Yes
PF-0317,SG-25010042607,Q4,Supply Chain and Planning,76,73,82,76.2,Meets,Yes,Yes
PF-0318,SG-30023052603,Q2,EHS and Regulatory Compliance,78,66,78,73.8,Meets,No,No
PF-0319,SG-30023052603,Q3,EHS and Regulatory Compliance,54,75,90,68.5,Meets,Yes,Yes
PF-0320,SG-30023052603,Q4,EHS and Regulatory Compliance,77,81,87,80.4,Exceeds,Yes,No
PF-0321,SG-21028082654,Q3,Smartwatch Production,60,89,82,74.5,Meets,Yes,Yes
PF-0322,SG-21028082654,Q4,Smartwatch Production,82,87,93,85.9,Exceeds,Yes,No
PF-0323,SG-21001092655,Q3,Smartwatch Production,100,68,66,82.0,Exceeds,Yes,No
PF-0324,SG-21001092655,Q4,Smartwatch Production,88,100,92,93.0,Exceptional,Yes,No
PF-0325,SG-21018072656,Q3,Smartwatch Production,86,67,87,79.6,Meets,No,Yes
PF-0326,SG-21018072656,Q4,Smartwatch Production,91,93,87,90.9,Exceptional,Yes,No
PF-0327,SG-21012092657,Q3,Smartwatch Production,66,81,82,74.5,Meets,Yes,Yes
PF-0328,SG-21012092657,Q4,Smartwatch Production,81,80,95,83.5,Exceeds,Yes,No
PF-0329,SG-21012092658,Q3,Smartwatch Production,88,94,88,90.1,Exceptional,No,Yes
PF-0330,SG-21012092658,Q4,Smartwatch Production,97,100,91,96.9,Exceptional,Yes,No
PF-0331,SG-21003092659,Q3,Smartwatch Production,65,74,73,69.8,Meets,Yes,Yes
PF-0332,SG-21003092659,Q4,Smartwatch Production,63,81,92,75.1,Meets,Yes,Yes
PF-0333,SG-21009092660,Q3,Smartwatch Production,76,84,80,79.6,Meets,Yes,Yes
PF-0334,SG-21009092660,Q4,Smartwatch Production,94,88,86,90.3,Exceptional,Yes,Yes
PF-0335,SG-21024092661,Q3,Smartwatch Production,80,81,77,79.8,Meets,Yes,Yes
PF-0336,SG-21024092661,Q4,Smartwatch Production,82,75,85,80.2,Exceeds,Yes,No
PF-0337,SG-21010082662,Q3,Smartwatch Production,69,69,79,71.0,Meets,Yes,Yes
PF-0338,SG-21010082662,Q4,Smartwatch Production,83,79,94,83.8,Exceeds,Yes,No
PF-0339,SG-21022082663,Q3,Smartwatch Production,89,90,74,86.3,Exceeds,Yes,No
PF-0340,SG-21022082663,Q4,Smartwatch Production,84,100,100,92.8,Exceptional,Yes,Yes
PF-0341,SG-21015082664,Q3,Smartwatch Production,92,92,92,92.0,Exceptional,Yes,Yes
PF-0342,SG-21015082664,Q4,Smartwatch Production,89,100,88,92.7,Exceptional,Yes,Yes
PF-0343,SG-21006082665,Q3,Smartwatch Production,75,70,88,75.8,Meets,No,Yes
PF-0344,SG-21006082665,Q4,Smartwatch Production,87,86,98,88.8,Exceeds,Yes,No
PF-0345,SG-21004082666,Q3,Smartwatch Production,74,70,80,73.8,Meets,Yes,Yes
PF-0346,SG-21004082666,Q4,Smartwatch Production,98,88,83,91.5,Exceptional,Yes,No
PF-0347,SG-21024082667,Q3,Smartwatch Production,77,84,77,79.5,Meets,Yes,Yes
PF-0348,SG-21024082667,Q4,Smartwatch Production,91,88,82,88.2,Exceeds,Yes,No
PF-0349,SG-22006072614,Q3,Quality Assurance,68,84,85,77.0,Meets,Yes,Yes
PF-0350,SG-22006072614,Q4,Quality Assurance,77,75,88,78.5,Meets,Yes,Yes
PF-0351,SG-22016082615,Q3,Quality Assurance,65,64,74,66.5,Meets,Yes,Yes
PF-0352,SG-22016082615,Q4,Quality Assurance,89,85,89,87.6,Exceeds,Yes,No
PF-0353,SG-22008082616,Q3,Quality Assurance,80,83,70,79.0,Meets,Yes,Yes
PF-0354,SG-22008082616,Q4,Quality Assurance,94,81,82,87.1,Exceeds,Yes,No
PF-0355,SG-22002092617,Q3,Quality Assurance,71,84,81,77.5,Meets,Yes,Yes
PF-0356,SG-22002092617,Q4,Quality Assurance,82,87,92,85.8,Exceeds,Yes,No
PF-0357,SG-23030082611,Q3,Engineering and Maintenance,65,79,86,74.1,Meets,Yes,Yes
PF-0358,SG-23030082611,Q4,Engineering and Maintenance,72,88,90,81.2,Exceeds,Yes,No
PF-0359,SG-23001082612,Q3,Engineering and Maintenance,71,66,86,72.2,Meets,No,Yes
PF-0360,SG-23001082612,Q4,Engineering and Maintenance,84,82,98,86.1,Exceeds,Yes,No
PF-0361,SG-23013092613,Q3,Engineering and Maintenance,96,77,79,86.0,Exceeds,Yes,No
PF-0362,SG-23013092613,Q4,Engineering and Maintenance,83,94,93,88.8,Exceeds,Yes,Yes
PF-0363,SG-24025082610,Q3,Research and Development,82,66,100,80.0,Exceeds,Yes,No
PF-0364,SG-24025082610,Q4,Research and Development,100,84,95,93.4,Exceptional,Yes,No
PF-0365,SG-24027082611,Q3,Research and Development,55,74,72,65.0,Meets,Yes,Yes
PF-0366,SG-24027082611,Q4,Research and Development,66,85,97,78.8,Meets,Yes,Yes
PF-0367,SG-24026092612,Q3,Research and Development,84,67,91,79.5,Meets,No,Yes
PF-0368,SG-24026092612,Q4,Research and Development,82,77,88,81.4,Exceeds,Yes,No
PF-0369,SG-28012072607,Q3,IT Data and HRIS,90,68,87,81.7,Exceeds,Yes,No
PF-0370,SG-28012072607,Q4,IT Data and HRIS,75,83,88,80.4,Exceeds,Yes,Yes
PF-0371,SG-28031082608,Q3,IT Data and HRIS,77,69,76,74.0,Meets,Yes,Yes
PF-0372,SG-28031082608,Q4,IT Data and HRIS,83,88,89,86.0,Exceeds,Yes,Yes
PF-0373,SG-29001082605,Q3,Sales Distribution and Service,67,77,78,72.7,Meets,Yes,Yes
PF-0374,SG-29001082605,Q4,Sales Distribution and Service,80,92,94,87.0,Exceeds,Yes,No
PF-0375,SG-29008072606,Q3,Sales Distribution and Service,80,60,86,74.2,Meets,Yes,Yes
PF-0376,SG-29008072606,Q4,Sales Distribution and Service,75,84,91,81.3,Exceeds,Yes,No
PF-0377,SG-25008092608,Q3,Supply Chain and Planning,72,65,80,71.2,Meets,Yes,Yes
PF-0378,SG-25008092608,Q4,Supply Chain and Planning,76,90,96,84.9,Exceeds,Yes,No
PF-0379,SG-25028072609,Q3,Supply Chain and Planning,82,83,92,84.3,Exceeds,No,No
PF-0380,SG-25028072609,Q4,Supply Chain and Planning,99,100,82,96.0,Exceptional,Yes,No
PF-0381,SG-12724092608,Q3,Human Resources and People,76,78,85,78.5,Meets,Yes,Yes
PF-0382,SG-12724092608,Q4,Human Resources and People,77,91,84,83.3,Exceeds,Yes,Yes
PF-0383,SG-27005082605,Q3,Finance and Accounts,99,84,75,89.0,Exceeds,No,No
PF-0384,SG-27005082605,Q4,Finance and Accounts,98,95,82,93.8,Exceptional,Yes,No
PF-0385,SG-21011102668,Q4,Smartwatch Production,91,79,100,88.6,Exceeds,Yes,Yes
PF-0386,SG-21021102669,Q4,Smartwatch Production,88,87,87,87.5,Exceeds,Yes,No
PF-0387,SG-21011122670,Q4,Smartwatch Production,86,83,94,86.5,Exceeds,Yes,No
PF-0388,SG-21025102671,Q4,Smartwatch Production,70,86,94,80.4,Exceeds,Yes,No
PF-0389,SG-21007122672,Q4,Smartwatch Production,68,89,79,77.5,Meets,Yes,Yes
PF-0390,SG-21007102673,Q4,Smartwatch Production,91,78,89,86.0,Exceeds,Yes,No
PF-0391,SG-21004122674,Q4,Smartwatch Production,86,73,99,84.0,Exceeds,Yes,No
PF-0392,SG-21020112675,Q4,Smartwatch Production,86,88,86,86.7,Exceeds,Yes,Yes
PF-0393,SG-22023102618,Q4,Quality Assurance,86,86,86,86.0,Exceeds,Yes,No
PF-0394,SG-22029112619,Q4,Quality Assurance,98,83,94,92.0,Exceptional,Yes,Yes
PF-0395,SG-23001102614,Q4,Engineering and Maintenance,100,94,97,97.3,Exceptional,Yes,Yes
PF-0396,SG-23004112615,Q4,Engineering and Maintenance,86,98,98,92.6,Exceptional,Yes,No
PF-0397,SG-24017102613,Q4,Research and Development,87,88,92,88.3,Exceeds,Yes,Yes
PF-0398,SG-24024102614,Q4,Research and Development,77,84,80,80.0,Exceeds,Yes,No
PF-0399,SG-29031102607,Q4,Sales Distribution and Service,74,91,66,78.4,Meets,Yes,Yes
PF-0400,SG-29013102608,Q4,Sales Distribution and Service,100,78,100,92.3,Exceptional,Yes,No
PF-0401,SG-12718112609,Q4,Human Resources and People,88,72,89,82.6,Exceeds,Yes,No
PF-0402,SG-28025112609,Q4,IT Data and HRIS,99,100,95,98.6,Exceptional,Yes,No
