Ticket_ID,Created_Date,Quarter,Ticket_Type,Priority,Resolution_Hours,SLA_Target_Hours,SLA_Met,Employee_Satisfaction,Channel
TKT-0315,2026-11-27,Q4,Leave correction,Medium,31.0,40,Yes,5,Walk-in
TKT-0316,2026-11-20,Q4,Leave correction,High,16.9,40,Yes,4,Manager referral
TKT-0317,2026-11-02,Q4,Attendance correction,Medium,36.5,40,Yes,5,Manager referral
TKT-0318,2026-11-21,Q4,Payroll query,Medium,31.2,40,Yes,5,HRIS
TKT-0319,2026-11-11,Q4,Payroll query,Low,26.8,40,Yes,4,Walk-in
TKT-0320,2026-11-06,Q4,Grievance routing,Medium,27.6,40,Yes,5,Manager referral
TKT-0321,2026-11-15,Q4,Grievance routing,Medium,35.9,40,Yes,4,Walk-in
TKT-0322,2026-11-20,Q4,HRIS access,Medium,4.2,40,Yes,4,HRIS
TKT-0323,2026-11-08,Q4,Payroll query,Medium,39.9,40,Yes,4,Walk-in
TKT-0324,2026-11-25,Q4,Attendance correction,High,12.9,40,Yes,4,Email
TKT-0325,2026-11-27,Q4,Employee letter,Low,5.6,40,Yes,4,Manager referral
TKT-0326,2026-11-26,Q4,Employee letter,Low,25.1,40,Yes,4,Walk-in
TKT-0327,2026-11-01,Q4,Attendance correction,Medium,6.4,40,Yes,5,Walk-in
TKT-0328,2026-11-26,Q4,Employee letter,High,39.6,40,Yes,4,HRIS
TKT-0329,2026-11-14,Q4,Grievance routing,Low,36.0,40,Yes,5,Walk-in
TKT-0330,2026-11-06,Q4,Attendance correction,Low,84.7,40,No,1,HRIS
TKT-0331,2026-11-11,Q4,Grievance routing,Medium,19.6,40,Yes,5,Email
TKT-0332,2026-11-04,Q4,Leave correction,Low,21.2,40,Yes,5,Walk-in
TKT-0333,2026-11-24,Q4,HRIS access,Medium,20.5,40,Yes,5,Email
TKT-0334,2026-11-13,Q4,Benefit query,Low,18.0,40,Yes,5,Walk-in
TKT-0335,2026-11-19,Q4,Attendance correction,Low,20.5,40,Yes,5,HRIS
TKT-0336,2026-12-12,Q4,Grievance routing,Low,33.0,40,Yes,5,Manager referral
TKT-0337,2026-12-26,Q4,Attendance correction,Low,30.8,40,Yes,4,Walk-in
TKT-0338,2026-12-26,Q4,Leave correction,High,47.5,40,No,1,Email
TKT-0339,2026-12-08,Q4,Payroll query,Medium,23.7,40,Yes,4,Manager referral
TKT-0340,2026-12-10,Q4,Payroll query,Low,9.6,40,Yes,4,HRIS
TKT-0341,2026-12-05,Q4,HRIS access,Low,19.9,40,Yes,5,Walk-in
TKT-0342,2026-12-11,Q4,HRIS access,Low,35.6,40,Yes,5,Manager referral
TKT-0343,2026-12-07,Q4,Benefit query,Low,5.9,40,Yes,5,Email
TKT-0344,2026-12-30,Q4,Grievance routing,Medium,20.0,40,Yes,4,Email
TKT-0345,2026-12-14,Q4,Grievance routing,High,25.5,40,Yes,5,HRIS
TKT-0346,2026-12-29,Q4,Payroll query,Low,31.7,40,Yes,4,Walk-in
TKT-0347,2026-12-24,Q4,Employee letter,Medium,7.7,40,Yes,4,HRIS
TKT-0348,2026-12-01,Q4,Leave correction,Medium,16.8,40,Yes,5,Email
TKT-0349,2026-12-08,Q4,Attendance correction,Low,31.4,40,Yes,5,Walk-in
TKT-0350,2026-12-25,Q4,Attendance correction,Medium,15.4,40,Yes,4,Walk-in
TKT-0351,2026-12-14,Q4,Payroll query,Low,24.3,40,Yes,4,HRIS
TKT-0352,2026-12-11,Q4,Attendance correction,Medium,38.4,40,Yes,4,Manager referral
TKT-0353,2026-12-24,Q4,Leave correction,Medium,35.3,40,Yes,5,Email
TKT-0354,2026-12-01,Q4,HRIS access,Medium,12.5,40,Yes,5,HRIS
TKT-0355,2026-12-14,Q4,HRIS access,Low,31.5,40,Yes,4,HRIS
TKT-0356,2026-12-19,Q4,Employee letter,Medium,38.3,40,Yes,5,Walk-in
TKT-0357,2026-12-28,Q4,Attendance correction,Medium,12.9,40,Yes,4,Manager referral
TKT-0358,2026-12-26,Q4,Payroll query,Low,25.9,40,Yes,5,Manager referral
TKT-0359,2026-12-19,Q4,Attendance correction,Medium,6.6,40,Yes,5,Walk-in
TKT-0360,2026-12-30,Q4,Employee letter,Medium,23.3,40,Yes,5,Email
TKT-0361,2026-12-21,Q4,Leave correction,High,33.4,40,Yes,5,HRIS
TKT-0362,2026-12-21,Q4,HRIS access,Low,14.3,40,Yes,5,Manager referral
TKT-0363,2026-12-11,Q4,Leave correction,Medium,10.8,40,Yes,4,Walk-in
TKT-0364,2026-12-24,Q4,Grievance routing,Low,20.4,40,Yes,5,Email
TKT-0365,2026-12-14,Q4,Leave correction,Low,37.2,40,Yes,5,Manager referral
TKT-0366,2026-12-05,Q4,HRIS access,Medium,32.9,40,Yes,4,Email
TKT-0367,2026-12-11,Q4,Benefit query,Low,106.8,40,No,1,Walk-in
TKT-0368,2026-12-27,Q4,Attendance correction,Low,24.1,40,Yes,5,HRIS
TKT-0369,2026-12-08,Q4,HRIS access,Medium,32.1,40,Yes,5,HRIS
TKT-0370,2026-12-16,Q4,Employee letter,Medium,30.4,40,Yes,4,HRIS
TKT-0371,2026-12-05,Q4,Benefit query,Medium,27.5,40,Yes,4,Email
TKT-0372,2026-12-08,Q4,Leave correction,Low,6.2,40,Yes,5,Manager referral
TKT-0373,2026-12-07,Q4,Grievance routing,Medium,38.2,40,Yes,4,Manager referral
TKT-0374,2026-12-12,Q4,Attendance correction,Low,31.9,40,Yes,5,Email
